"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"COM00080110","OLAYA HERRERA, CO","2001-03-15","0.3","21.9",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2001-03-18","4.1","20.8",,"17.7"
"COM00080110","OLAYA HERRERA, CO","2001-03-19","13.0","20.6",,"17.4"
"COM00080110","OLAYA HERRERA, CO","2001-03-24","0.8","21.4",,"17.7"
"COM00080110","OLAYA HERRERA, CO","2001-03-26","5.1","24.0",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2001-04-03",,"24.9",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2001-04-04",,"21.0",,"18.6"
"COM00080110","OLAYA HERRERA, CO","2001-04-06","16.0","25.6",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2001-04-12","3.0","23.2",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2001-04-13","7.1","23.3",,"17.2"
"COM00080110","OLAYA HERRERA, CO","2001-04-15","8.9","22.1",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2001-04-28","0.5","22.7",,
"COM00080110","OLAYA HERRERA, CO","2001-04-29","0.0","24.7",,"18.8"
"COM00080110","OLAYA HERRERA, CO","2001-05-01",,"25.1",,"18.2"
"COM00080110","OLAYA HERRERA, CO","2001-05-02",,"22.4",,"19.0"
"COM00080110","OLAYA HERRERA, CO","2001-05-04","0.5","21.8",,"18.5"
"COM00080110","OLAYA HERRERA, CO","2001-05-08","5.1","19.7",,
"COM00080110","OLAYA HERRERA, CO","2001-05-09","0.0","22.2",,
"COM00080110","OLAYA HERRERA, CO","2001-05-14","8.9","24.1",,"16.8"
"COM00080110","OLAYA HERRERA, CO","2001-05-17","0.8","22.5",,"17.8"
"COM00080110","OLAYA HERRERA, CO","2001-05-25","0.5","22.3",,"17.6"
"COM00080110","OLAYA HERRERA, CO","2001-05-26","0.0","20.6",,"18.8"
"COM00080110","OLAYA HERRERA, CO","2001-05-27","5.1","20.1",,"16.8"
"COM00080110","OLAYA HERRERA, CO","2001-05-28","3.0","23.2",,"17.2"
"COM00080110","OLAYA HERRERA, CO","2001-05-29","0.0","26.2",,"17.2"
"COM00080110","OLAYA HERRERA, CO","2001-05-31",,"21.8",,"17.6"
"COM00080110","OLAYA HERRERA, CO","2001-06-01","0.0","21.8",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2001-06-06",,"23.8",,"18.8"
"COM00080110","OLAYA HERRERA, CO","2001-06-09","5.1","24.2",,"17.2"
"COM00080110","OLAYA HERRERA, CO","2001-06-14","3.0","20.6",,"17.4"
"COM00080110","OLAYA HERRERA, CO","2001-06-16",,"24.1",,"18.3"
"COM00080110","OLAYA HERRERA, CO","2001-06-19","4.1","23.9",,"17.6"
"COM00080110","OLAYA HERRERA, CO","2001-06-20","0.0","25.3",,"18.4"
"COM00080110","OLAYA HERRERA, CO","2001-06-23",,"22.6",,"18.2"
"COM00080110","OLAYA HERRERA, CO","2001-06-24","1.0","23.4",,"18.3"
"COM00080110","OLAYA HERRERA, CO","2001-06-30",,"22.8",,"18.4"
"COM00080110","OLAYA HERRERA, CO","2001-07-07",,"28.4",,
"COM00080110","OLAYA HERRERA, CO","2001-07-12","7.1","21.9",,"16.7"
"COM00080110","OLAYA HERRERA, CO","2001-07-13","0.0","26.8",,"17.8"
"COM00080110","OLAYA HERRERA, CO","2001-07-14","0.0","23.8",,"19.0"
"COM00080110","OLAYA HERRERA, CO","2001-07-16","7.9","22.4",,"16.0"
"COM00080110","OLAYA HERRERA, CO","2001-07-20","5.1","24.2",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2001-07-22","0.3","20.4",,"16.8"
"COM00080110","OLAYA HERRERA, CO","2001-07-23","11.9","21.9",,"16.0"
"COM00080110","OLAYA HERRERA, CO","2001-07-24","0.0","20.7",,
"COM00080110","OLAYA HERRERA, CO","2001-07-26","9.9","18.8",,"17.4"
"COM00080110","OLAYA HERRERA, CO","2001-07-28","21.1","20.8",,"15.8"
"COM00080110","OLAYA HERRERA, CO","2001-07-31",,"23.2",,
"COM00080110","OLAYA HERRERA, CO","2001-08-04","3.0","21.4",,
"COM00080110","OLAYA HERRERA, CO","2001-08-05","4.1","23.6",,"18.0"
"COM00080110","OLAYA HERRERA, CO","2001-08-06","0.0","23.8",,
"COM00080110","OLAYA HERRERA, CO","2001-08-10",,"23.8",,"15.5"
"COM00080110","OLAYA HERRERA, CO","2001-08-15",,"25.5",,"18.1"
"COM00080110","OLAYA HERRERA, CO","2001-08-16",,"25.9",,"17.2"
"COM00080110","OLAYA HERRERA, CO","2001-08-17",,"26.9",,"18.2"
"COM00080110","OLAYA HERRERA, CO","2001-08-22",,"24.7",,
"COM00080110","OLAYA HERRERA, CO","2001-08-26",,"24.5",,
"COM00080110","OLAYA HERRERA, CO","2001-09-01","1.0","25.2",,"17.8"
"COM00080110","OLAYA HERRERA, CO","2001-09-05","0.5","25.9",,"18.9"
"COM00080110","OLAYA HERRERA, CO","2001-09-07","2.0","22.4",,"17.8"
"COM00080110","OLAYA HERRERA, CO","2001-09-08","3.0","23.4",,"17.8"
"COM00080110","OLAYA HERRERA, CO","2001-09-09","7.1","20.8",,"16.8"
"COM00080110","OLAYA HERRERA, CO","2001-09-14",,"19.3",,"16.6"
"COM00080110","OLAYA HERRERA, CO","2001-09-15","5.1","23.5",,"16.0"
"COM00080110","OLAYA HERRERA, CO","2001-09-21","0.3","21.8",,"17.0"
"COM00080110","OLAYA HERRERA, CO","2001-09-22","2.0","22.7",,"17.7"
